Dataset,Instancia,Algoritmo,Runs,Gap media + DP,Tempo media + DP
a,instance_0006,simple_desc_multi,5,0.9535 +- 0.0000,0.0830 +- 0.0093
a,instance_0006,simple_desc_simple,5,0.9538 +- 0.0000,0.1163 +- 0.0219
a,instance_0006,simple_diff_multi_bigger,5,0.9612 +- 0.0000,0.1246 +- 0.0138
a,instance_0006,simple_diff_multi_most_shared,5,0.9612 +- 0.0000,0.1473 +- 0.0281
a,instance_0006,simple_diff_multi_random,5,0.9612 +- 0.0000,0.1471 +- 0.0247
a,instance_0006,simple_diff_multi_smaller,5,0.9612 +- 0.0000,0.1329 +- 0.0235
a,instance_0006,simple_diff_simple_bigger,5,0.9614 +- 0.0000,0.3384 +- 0.0427
a,instance_0006,simple_diff_simple_most_shared,5,0.9614 +- 0.0000,0.3445 +- 0.0260
a,instance_0006,simple_diff_simple_random,5,0.9614 +- 0.0000,0.3740 +- 0.0519
a,instance_0006,simple_diff_simple_smaller,5,0.9614 +- 0.0000,0.3768 +- 0.0442
a,instance_0006,simple_diff_weighted_multi_bigger,5,0.9612 +- 0.0000,0.1244 +- 0.0202
a,instance_0006,simple_diff_weighted_multi_most_shared,5,0.9612 +- 0.0000,0.1460 +- 0.0126
a,instance_0006,simple_diff_weighted_multi_random,5,0.9612 +- 0.0000,0.1324 +- 0.0365
a,instance_0006,simple_diff_weighted_multi_smaller,5,0.9612 +- 0.0000,0.1358 +- 0.0271
a,instance_0006,simple_diff_weighted_simple_bigger,5,0.9614 +- 0.0000,0.3512 +- 0.0370
a,instance_0006,simple_diff_weighted_simple_most_shared,5,0.9614 +- 0.0000,0.3816 +- 0.0643
a,instance_0006,simple_diff_weighted_simple_random,5,0.9614 +- 0.0000,0.3508 +- 0.0469
a,instance_0006,simple_diff_weighted_simple_smaller,5,0.9614 +- 0.0000,0.3748 +- 0.0490
a,instance_0006,simple_random_multi,5,0.9605 +- 0.0010,0.1416 +- 0.0309
a,instance_0006,simple_random_simple,5,0.9609 +- 0.0010,0.3375 +- 0.0527
a,instance_0006,simple_similar_multi_bigger,5,0.9609 +- 0.0000,0.1344 +- 0.0298
a,instance_0006,simple_similar_multi_most_shared,5,0.9612 +- 0.0000,0.1476 +- 0.0244
a,instance_0006,simple_similar_multi_random,5,0.9612 +- 0.0000,0.1483 +- 0.0310
a,instance_0006,simple_similar_multi_smaller,5,0.9612 +- 0.0000,0.1177 +- 0.0215
a,instance_0006,simple_similar_simple_bigger,5,0.9612 +- 0.0000,0.3560 +- 0.0353
a,instance_0006,simple_similar_simple_most_shared,5,0.9614 +- 0.0000,0.3982 +- 0.0702
a,instance_0006,simple_similar_simple_random,5,0.9614 +- 0.0000,0.3643 +- 0.0332
a,instance_0006,simple_similar_simple_smaller,5,0.9614 +- 0.0000,0.3711 +- 0.0948
a,instance_0006,simple_similar_weighted_multi_bigger,5,0.9609 +- 0.0000,0.1403 +- 0.0328
a,instance_0006,simple_similar_weighted_multi_most_shared,5,0.9612 +- 0.0000,0.1300 +- 0.0170
a,instance_0006,simple_similar_weighted_multi_random,5,0.9612 +- 0.0000,0.1650 +- 0.0391
a,instance_0006,simple_similar_weighted_multi_smaller,5,0.9612 +- 0.0000,0.1211 +- 0.0193
a,instance_0006,simple_similar_weighted_simple_bigger,5,0.9612 +- 0.0000,0.3516 +- 0.0766
a,instance_0006,simple_similar_weighted_simple_most_shared,5,0.9614 +- 0.0000,0.3550 +- 0.0557
a,instance_0006,simple_similar_weighted_simple_random,5,0.9614 +- 0.0000,0.3450 +- 0.0354
a,instance_0006,simple_similar_weighted_simple_smaller,5,0.9614 +- 0.0000,0.3695 +- 0.0450
a,instance_0007,simple_asc_multi,5,0.9337 +- 0.0000,0.1423 +- 0.0420
a,instance_0007,simple_asc_simple,5,0.9342 +- 0.0000,0.4407 +- 0.0633
a,instance_0007,simple_desc_multi,5,0.9279 +- 0.0000,0.1175 +- 0.0285
a,instance_0007,simple_desc_simple,5,0.9284 +- 0.0000,0.1920 +- 0.0337
a,instance_0007,simple_diff_multi_bigger,5,0.9324 +- 0.0000,0.1239 +- 0.0199
a,instance_0007,simple_diff_multi_most_shared,5,0.9324 +- 0.0000,0.1258 +- 0.0169
a,instance_0007,simple_diff_multi_random,5,0.9324 +- 0.0000,0.1268 +- 0.0256
a,instance_0007,simple_diff_multi_smaller,5,0.9324 +- 0.0000,0.1231 +- 0.0275
a,instance_0007,simple_diff_simple_bigger,5,0.9328 +- 0.0000,0.3510 +- 0.0547
a,instance_0007,simple_diff_simple_most_shared,5,0.9328 +- 0.0000,0.3520 +- 0.0654
a,instance_0007,simple_diff_simple_random,5,0.9328 +- 0.0000,0.3821 +- 0.0296
a,instance_0007,simple_diff_simple_smaller,5,0.9328 +- 0.0000,0.3222 +- 0.0394
a,instance_0007,simple_diff_weighted_multi_bigger,5,0.9324 +- 0.0000,0.1268 +- 0.0255
a,instance_0007,simple_diff_weighted_multi_most_shared,5,0.9324 +- 0.0000,0.1291 +- 0.0254
a,instance_0007,simple_diff_weighted_multi_random,5,0.9324 +- 0.0000,0.1279 +- 0.0222
a,instance_0007,simple_diff_weighted_multi_smaller,5,0.9324 +- 0.0000,0.1252 +- 0.0235
a,instance_0007,simple_diff_weighted_simple_bigger,5,0.9328 +- 0.0000,0.3821 +- 0.0891
a,instance_0007,simple_diff_weighted_simple_most_shared,5,0.9328 +- 0.0000,0.3522 +- 0.0556
a,instance_0007,simple_diff_weighted_simple_random,5,0.9328 +- 0.0000,0.3593 +- 0.0427
a,instance_0007,simple_diff_weighted_simple_smaller,5,0.9328 +- 0.0000,0.3337 +- 0.0520
a,instance_0007,simple_random_multi,5,0.9325 +- 0.0013,0.1452 +- 0.0266
a,instance_0007,simple_random_simple,5,0.9332 +- 0.0007,0.3623 +- 0.0114
a,instance_0007,simple_similar_multi_bigger,5,0.9324 +- 0.0000,0.1361 +- 0.0221
a,instance_0007,simple_similar_multi_most_shared,5,0.9324 +- 0.0000,0.1370 +- 0.0134
a,instance_0007,simple_similar_multi_random,5,0.9324 +- 0.0000,0.1260 +- 0.0216
a,instance_0007,simple_similar_multi_smaller,5,0.9324 +- 0.0000,0.1178 +- 0.0251
a,instance_0007,simple_similar_simple_bigger,5,0.9328 +- 0.0000,0.3840 +- 0.0829
a,instance_0007,simple_similar_simple_most_shared,5,0.9328 +- 0.0000,0.3415 +- 0.0293
a,instance_0007,simple_similar_simple_random,5,0.9328 +- 0.0000,0.3443 +- 0.0504
a,instance_0007,simple_similar_simple_smaller,5,0.9328 +- 0.0000,0.3568 +- 0.0408
a,instance_0007,simple_similar_weighted_multi_bigger,5,0.9324 +- 0.0000,0.1202 +- 0.0095
a,instance_0007,simple_similar_weighted_multi_most_shared,5,0.9324 +- 0.0000,0.1383 +- 0.0207
a,instance_0007,simple_similar_weighted_multi_random,5,0.9324 +- 0.0000,0.1224 +- 0.0294
a,instance_0007,simple_similar_weighted_multi_smaller,5,0.9324 +- 0.0000,0.1148 +- 0.0085
a,instance_0007,simple_similar_weighted_simple_bigger,5,0.9328 +- 0.0000,0.3388 +- 0.0306
a,instance_0007,simple_similar_weighted_simple_most_shared,5,0.9328 +- 0.0000,0.3546 +- 0.0477
a,instance_0007,simple_similar_weighted_simple_random,5,0.9328 +- 0.0000,0.3194 +- 0.0311
a,instance_0007,simple_similar_weighted_simple_smaller,5,0.9328 +- 0.0000,0.3685 +- 0.0738
a,instance_0008,simple_asc_multi,5,0.8765 +- 0.0000,0.0860 +- 0.0089
a,instance_0008,simple_asc_simple,5,0.8774 +- 0.0000,0.2917 +- 0.0563
a,instance_0008,simple_desc_multi,5,0.8020 +- 0.0000,0.0532 +- 0.0081
a,instance_0008,simple_desc_simple,5,0.8240 +- 0.0000,0.1366 +- 0.0254
a,instance_0008,simple_diff_multi_bigger,5,0.8709 +- 0.0000,0.0914 +- 0.0227
a,instance_0008,simple_diff_multi_most_shared,5,0.8690 +- 0.0000,0.0927 +- 0.0106
a,instance_0008,simple_diff_multi_random,5,0.8693 +- 0.0009,0.0870 +- 0.0252
a,instance_0008,simple_diff_multi_smaller,5,0.8690 +- 0.0000,0.0860 +- 0.0195
a,instance_0008,simple_diff_simple_bigger,5,0.8737 +- 0.0000,0.2445 +- 0.0443
a,instance_0008,simple_diff_simple_most_shared,5,0.8709 +- 0.0000,0.2442 +- 0.0352
a,instance_0008,simple_diff_simple_random,5,0.8715 +- 0.0009,0.2478 +- 0.0334
a,instance_0008,simple_diff_simple_smaller,5,0.8709 +- 0.0000,0.2052 +- 0.0201
